trial,lr,weight_decay,feature_base,use_attention,focal_alpha,train_exit_code,checkpoint,val_dice,val_sensitivity,test_dice,test_sensitivity,notes
1,0.0003,0.0001,32,True,0.25,0,models/weights/unet25d_lr0.0003_focal0.25_wd0.0001_fcb32_attn_best.pth,0.363040,0.412954,0.438480,0.496630,
2,0.0003,0.0001,32,False,0.25,0,models/weights/unet25d_lr0.0003_focal0.25_wd0.0001_fcb32_noattn_best.pth,0.383142,0.325567,0.579926,0.543534,
3,0.0003,0.0001,48,True,0.25,0,models/weights/unet25d_lr0.0003_focal0.25_wd0.0001_fcb48_attn_best.pth,0.348068,0.305546,0.442303,0.394027,
