trial,alpha,tag,elapsed_s,best_val,best_epoch,status
1,0.1,lr5.19e-04_wd1.80e-03_dw0.46_fw0.54_a0.10_bs64_noatt,1228.6,0.3514509588479996,7,ok
2,0.25,lr5.19e-04_wd1.80e-03_dw0.46_fw0.54_a0.25_bs64_noatt,239.2,0.38847029358148577,2,ok
3,0.4,lr5.19e-04_wd1.80e-03_dw0.46_fw0.54_a0.40_bs64_noatt,461.1,0.3694930423051119,4,ok
4,0.55,lr5.19e-04_wd1.80e-03_dw0.46_fw0.54_a0.55_bs64_noatt,1175.8,0.36548300441354514,9,ok
5,0.7,lr5.19e-04_wd1.80e-03_dw0.46_fw0.54_a0.70_bs64_noatt,400.2,0.3723894864320755,4,ok
6,0.85,lr5.19e-04_wd1.80e-03_dw0.46_fw0.54_a0.85_bs64_noatt,522.9,0.3720363415777683,4,ok
